episode,timestep,reward
39,4000,-12257.4051
79,8000,-12325.814
119,12000,-12366.6385
159,16000,-12275.34
199,20000,-12256.4797
239,24000,-12203.325
279,28000,-12079.1225
319,32000,-12150.9112
359,36000,-12198.9938
399,40000,-12213.0355
439,44000,-12126.534
479,48000,-11979.8788
519,52000,-12150.8388
559,56000,-12149.2023
599,60000,-12043.7857
639,64000,-12077.0008
679,68000,-12147.447
719,72000,-11634.0798
759,76000,-11900.3698
799,80000,-11545.5805
839,84000,-11794.2937
879,88000,-11729.4685
919,92000,-11837.2323
959,96000,-11700.2413
999,100000,-11682.5235
1039,104000,-11658.721
1079,108000,-11468.8375
1119,112000,-11575.4465
1159,116000,-11570.0883
1199,120000,-11392.4085
1239,124000,-11444.6902
1279,128000,-11527.7423
1319,132000,-11086.8403
1359,136000,-11560.3517
1399,140000,-11357.6548
1439,144000,-11375.362
1479,148000,-11302.8115
1519,152000,-11570.1868
1559,156000,-11734.3492
1599,160000,-11242.6298
1639,164000,-11125.1015
1679,168000,-11049.789
1719,172000,-11397.8487
1759,176000,-11206.8825
1799,180000,-11190.0488
1839,184000,-11374.4262
1879,188000,-11015.462
1919,192000,-10812.9637
1959,196000,-10534.6432
1999,200000,-10634.5342
2039,204000,-10472.5125
2079,208000,-9980.5148
2119,212000,-9634.868
2159,216000,-9628.55
2199,220000,-9833.466
2239,224000,-9886.3928
2279,228000,-10121.901
2319,232000,-10040.1177
2359,236000,-9921.066
2399,240000,-9787.0783
2439,244000,-9773.1022
2479,248000,-9834.8458
2519,252000,-9929.2388
2559,256000,-9981.4745
2599,260000,-9837.7935
2639,264000,-9836.895
2679,268000,-9725.454
2719,272000,-9789.12
2759,276000,-9907.0442
2799,280000,-9922.092
2839,284000,-9779.5485
2879,288000,-9755.9637
2919,292000,-9831.1072
2959,296000,-9866.1618
2999,300000,-9932.0363
3039,304000,-10020.5633
3079,308000,-9822.3417
3119,312000,-9834.3173
3159,316000,-9799.0835
3199,320000,-9833.6678
3239,324000,-9808.7917
3279,328000,-9924.2387
3319,332000,-9689.163
3359,336000,-9704.7245
3399,340000,-9834.8132
3439,344000,-9678.447
3479,348000,-9591.6812
3519,352000,-9613.8605
3559,356000,-9579.8785
3599,360000,-9440.4635
3639,364000,-9455.4058
3679,368000,-9540.5632
3719,372000,-9282.2455
3759,376000,-9487.9205
3799,380000,-9376.5478
3839,384000,-9361.889
3879,388000,-9416.6917
3919,392000,-9334.1378
3959,396000,-9284.558
3999,400000,-9280.8225
4039,404000,-9401.6638
4079,408000,-9326.9612
4119,412000,-9195.8683
4159,416000,-9294.3147
4199,420000,-9177.1427
4239,424000,-9130.259
4279,428000,-8991.834
4319,432000,-9109.4695
4359,436000,-9140.0305
4399,440000,-9071.811
4439,444000,-9002.0043
4479,448000,-9227.7025
4519,452000,-8962.8485
4559,456000,-9129.3038
4599,460000,-9141.7432
4639,464000,-9003.3347
4679,468000,-9258.2785
4719,472000,-8988.834
4759,476000,-9091.841
4799,480000,-9017.4848
4839,484000,-9203.6702
4879,488000,-9201.728
4919,492000,-9176.2748
4959,496000,-9129.5622
4999,500000,-8969.5598
5039,504000,-9141.8213
5079,508000,-9189.2438
5119,512000,-9157.5107
5159,516000,-9047.8758
5199,520000,-9117.1825
5239,524000,-9051.2395
5279,528000,-9074.237
5319,532000,-9212.3955
5359,536000,-9304.5957
5399,540000,-9090.501
5439,544000,-9268.3578
5479,548000,-8991.3188
5519,552000,-9078.8978
5559,556000,-9130.1988
5599,560000,-9139.9413
5639,564000,-8819.0998
5679,568000,-9120.3525
5719,572000,-9211.6188
5759,576000,-8909.2792
5799,580000,-9099.5305
5839,584000,-8895.3432
5879,588000,-8968.5332
5919,592000,-8876.7858
5959,596000,-9054.3202
5999,600000,-8498.5725
6039,604000,-8903.8078
6079,608000,-8789.1155
6119,612000,-9338.5238
6159,616000,-9433.649
6199,620000,-9344.6373
6239,624000,-9729.3335
6279,628000,-9722.0578
6319,632000,-9661.092
6359,636000,-9726.2078
6399,640000,-9960.7935
6439,644000,-9902.3162
6479,648000,-9583.212
6519,652000,-9991.9228
6559,656000,-10111.9285
6599,660000,-9869.389
6639,664000,-9988.0325
6679,668000,-9864.0717
6719,672000,-9248.7268
6759,676000,-9333.5688
6799,680000,-9793.464
6839,684000,-9891.5525
6879,688000,-9151.3305
6919,692000,-9443.6638
6959,696000,-9225.2553
6999,700000,-9100.8372
7039,704000,-9646.7345
7079,708000,-9078.6748
7119,712000,-8740.641
7159,716000,-8585.2092
7199,720000,-8523.4425
7239,724000,-8926.8062
7279,728000,-9162.0087
7319,732000,-8784.7215
7359,736000,-9444.7628
7399,740000,-9074.5315
7439,744000,-8428.2597
7479,748000,-9197.861
7519,752000,-9040.8627
7559,756000,-8828.912
7599,760000,-8900.7755
7639,764000,-8758.173
7679,768000,-9094.6598
7719,772000,-9191.1142
7759,776000,-9273.199
7799,780000,-8886.722
7839,784000,-9696.6112
7879,788000,-8847.1132
7919,792000,-8800.9132
7959,796000,-7891.4193
7999,800000,-8454.5457
8039,804000,-8508.6143
8079,808000,-8144.5105
8119,812000,-7472.8275
8159,816000,-7220.1448
8199,820000,-9872.8475
8239,824000,-9668.2478
8279,828000,-10040.7745
8319,832000,-10045.033
8359,836000,-9726.5348
8399,840000,-9741.2285
8439,844000,-9953.7635
8479,848000,-9755.3293
8519,852000,-9389.7465
8559,856000,-9146.9522
8599,860000,-8867.1428
8639,864000,-8985.9812
8679,868000,-8881.8793
8719,872000,-8544.8122
8759,876000,-8743.849
8799,880000,-8244.9922
8839,884000,-8766.4272
8879,888000,-9260.8195
8919,892000,-9652.5948
8959,896000,-8382.3408
8999,900000,-8557.0077
9039,904000,-7989.7178
9079,908000,-7740.2568
9119,912000,-9261.2995
9159,916000,-8335.6642
9199,920000,-9205.6952
9239,924000,-8442.154
9279,928000,-9000.982
9319,932000,-8675.27
9359,936000,-8733.6888
9399,940000,-8182.973
9439,944000,-9148.4463
9479,948000,-8722.2192
9519,952000,-8326.8958
9559,956000,-8326.4347
9599,960000,-8460.6777
9639,964000,-8973.3432
9679,968000,-8005.0928
9719,972000,-8596.5003
9759,976000,-8062.3375
9799,980000,-7607.9257
9839,984000,-8407.6882
9879,988000,-8849.3303
9919,992000,-8939.8583
9959,996000,-8307.411
9999,1000000,-7052.6525
