episode,timestep,reward
39,4000,-13031.9515
79,8000,-12299.4142
119,12000,-13979.7182
159,16000,-11758.4527
199,20000,-11645.8233
239,24000,-14589.1948
279,28000,-14866.2975
319,32000,-16788.502
359,36000,-13111.6878
399,40000,-18169.025
439,44000,-18233.3932
479,48000,-16326.5412
519,52000,-16241.0428
559,56000,-14934.7522
599,60000,-14561.465
639,64000,-12852.5533
679,68000,-13568.804
719,72000,-11984.2215
759,76000,-13137.5907
799,80000,-12480.026
839,84000,-12724.249
879,88000,-12520.4185
919,92000,-12463.6548
959,96000,-11122.7117
999,100000,-11466.601
1039,104000,-10818.9595
1079,108000,-10636.6812
1119,112000,-10962.213
1159,116000,-10385.593
1199,120000,-10666.218
1239,124000,-10499.814
1279,128000,-10537.7063
1319,132000,-9904.5333
1359,136000,-11350.9252
1399,140000,-11327.4295
1439,144000,-10297.0188
1479,148000,-11105.161
1519,152000,-10651.0035
1559,156000,-9886.8325
1599,160000,-10499.1798
1639,164000,-10430.303
1679,168000,-11133.4973
1719,172000,-10926.8048
1759,176000,-10389.7683
1799,180000,-10045.7812
1839,184000,-8984.6928
1879,188000,-10023.62
1919,192000,-12674.8545
1959,196000,-11411.004
1999,200000,-9707.9165
2039,204000,-11373.9708
2079,208000,-11102.0655
2119,212000,-10498.5662
2159,216000,-10330.781
2199,220000,-10878.6123
2239,224000,-10279.1285
2279,228000,-10354.4833
2319,232000,-10163.7322
2359,236000,-11334.478
2399,240000,-11142.5705
2439,244000,-10901.8845
2479,248000,-10125.1915
2519,252000,-10432.6312
2559,256000,-10443.9978
2599,260000,-10734.5968
2639,264000,-11248.8803
2679,268000,-9977.4818
2719,272000,-10717.428
2759,276000,-10432.8127
2799,280000,-10460.0855
2839,284000,-10369.0728
2879,288000,-10449.4185
2919,292000,-10377.2612
2959,296000,-10879.0998
2999,300000,-11249.9152
3039,304000,-10620.7465
3079,308000,-10697.6395
3119,312000,-10854.8298
3159,316000,-11083.615
3199,320000,-10790.9568
3239,324000,-10516.7895
3279,328000,-11018.988
3319,332000,-10681.3058
3359,336000,-10579.1295
3399,340000,-10765.2658
3439,344000,-10633.6295
3479,348000,-10461.964
3519,352000,-10561.8197
3559,356000,-10266.5658
3599,360000,-10392.7642
3639,364000,-10352.3
3679,368000,-10552.32
3719,372000,-10357.172
3759,376000,-10236.8212
3799,380000,-10194.8885
3839,384000,-10261.8138
3879,388000,-10084.7155
3919,392000,-10129.3218
3959,396000,-10015.8175
3999,400000,-10069.1208
4039,404000,-10076.4405
4079,408000,-9908.8958
4119,412000,-10089.3508
4159,416000,-9883.0292
4199,420000,-9968.5965
4239,424000,-10046.8743
4279,428000,-9782.496
4319,432000,-9930.8758
4359,436000,-10008.899
4399,440000,-9918.5357
4439,444000,-9680.2677
4479,448000,-9884.034
4519,452000,-10045.987
