episode,timestep,reward
39,4000,-6479.5433
79,8000,-7302.3885
119,12000,-7331.888
159,16000,-7512.1058
199,20000,-6930.882
239,24000,-6565.078
279,28000,-6543.2292
319,32000,-6382.3938
359,36000,-6371.9338
399,40000,-6535.315
439,44000,-6194.7637
479,48000,-6276.5515
519,52000,-6064.015
559,56000,-6144.643
599,60000,-6436.4708
639,64000,-6426.8657
679,68000,-6285.7142
719,72000,-5844.6852
759,76000,-5982.9018
799,80000,-6102.621
839,84000,-6023.6745
879,88000,-5969.015
919,92000,-6043.1548
959,96000,-6268.9235
999,100000,-6324.76
1039,104000,-6303.158
1079,108000,-6450.3808
1119,112000,-6472.4727
1159,116000,-6451.293
1199,120000,-6520.411
1239,124000,-6343.8917
1279,128000,-6269.4915
1319,132000,-6260.1055
1359,136000,-6061.031
1399,140000,-5978.6365
1439,144000,-5783.7525
1479,148000,-5720.21
1519,152000,-5513.9045
1559,156000,-5440.9548
1599,160000,-5078.657
1639,164000,-5007.4455
1679,168000,-4800.4662
1719,172000,-4630.4348
1759,176000,-4486.6908
1799,180000,-4301.1513
1839,184000,-4209.863
1879,188000,-4127.0998
1919,192000,-3978.7615
1959,196000,-3854.9843
1999,200000,-3760.6758
2039,204000,-3698.6982
2079,208000,-3536.3908
2119,212000,-3502.9955
2159,216000,-3459.24
2199,220000,-3398.449
2239,224000,-3331.0763
2279,228000,-3260.0855
2319,232000,-3186.8325
2359,236000,-3083.2405
2399,240000,-3101.8675
2439,244000,-3084.0512
2479,248000,-3038.9497
2519,252000,-3015.3748
2559,256000,-2961.101
2599,260000,-2941.1232
2639,264000,-2934.716
2679,268000,-2910.4635
2719,272000,-2896.1845
2759,276000,-2875.3175
2799,280000,-2854.1478
2839,284000,-2846.7903
2879,288000,-2825.4637
2919,292000,-2796.795
2959,296000,-2795.135
2999,300000,-2791.6818
3039,304000,-2768.4375
3079,308000,-2741.3585
3119,312000,-2730.7282
3159,316000,-2723.9778
3199,320000,-2684.7395
3239,324000,-2670.651
3279,328000,-2663.6487
3319,332000,-2658.5965
3359,336000,-2628.1683
3399,340000,-2652.9745
3439,344000,-2622.4617
3479,348000,-2618.1052
3519,352000,-2574.0182
3559,356000,-2596.5892
3599,360000,-2611.8363
3639,364000,-2593.2052
3679,368000,-2566.1562
3719,372000,-2560.034
3759,376000,-2567.3342
3799,380000,-2567.2783
3839,384000,-2559.6665
3879,388000,-2566.1365
3919,392000,-2531.8793
3959,396000,-2538.728
3999,400000,-2542.039
4039,404000,-2512.9955
4079,408000,-2519.1042
4119,412000,-2501.6532
4159,416000,-2513.2935
4199,420000,-2474.0092
4239,424000,-2472.1317
4279,428000,-2461.9232
4319,432000,-2465.2925
4359,436000,-2447.8438
4399,440000,-2446.574
4439,444000,-2482.6475
4479,448000,-2441.624
4519,452000,-2413.9612
4559,456000,-2396.1425
4599,460000,-2350.1995
4639,464000,-2348.1805
4679,468000,-2342.95
4719,472000,-2346.674
4759,476000,-2322.3735
4799,480000,-2311.1315
4839,484000,-2309.243
4879,488000,-2272.8085
4919,492000,-2265.1068
4959,496000,-2278.4918
4999,500000,-2261.247
5039,504000,-2260.4345
5079,508000,-2261.0157
5119,512000,-2166.6588
5159,516000,-2183.0072
5199,520000,-2158.0248
5239,524000,-2155.653
5279,528000,-2155.1518
5319,532000,-2163.3295
5359,536000,-2133.872
5399,540000,-2108.6965
5439,544000,-2091.778
5479,548000,-2131.4828
5519,552000,-2124.304
5559,556000,-2097.915
5599,560000,-2089.826
5639,564000,-2055.79
5679,568000,-2076.9733
5719,572000,-2046.7583
5759,576000,-2066.4898
5799,580000,-2103.1475
5839,584000,-2051.9732
5879,588000,-2068.1573
5919,592000,-2068.3508
5959,596000,-2042.697
5999,600000,-2025.7968
6039,604000,-2049.428
6079,608000,-2000.4335
6119,612000,-1990.372
6159,616000,-2009.3185
6199,620000,-1972.1862
6239,624000,-1979.7203
6279,628000,-1956.9165
6319,632000,-1972.6303
6359,636000,-1972.9568
6399,640000,-1965.0388
6439,644000,-1963.395
6479,648000,-1999.2898
6519,652000,-1949.2197
6559,656000,-1943.82
6599,660000,-1944.0073
6639,664000,-1950.466
6679,668000,-1940.9312
6719,672000,-1934.9578
6759,676000,-1948.7
6799,680000,-1932.685
6839,684000,-1920.8253
6879,688000,-1929.8322
6919,692000,-1902.173
6959,696000,-1905.2685
6999,700000,-1889.4962
7039,704000,-1887.5653
7079,708000,-1887.2938
7119,712000,-1892.1915
7159,716000,-1886.818
7199,720000,-1869.2465
7239,724000,-1873.5783
7279,728000,-1906.5202
7319,732000,-1894.387
7359,736000,-1871.9828
7399,740000,-1873.2892
7439,744000,-1865.858
